Last-Updated: 2022-07-01
trip_origin_date|mode_name|ti_region|tap_hour|Tap_Ons|Tap_Offs
2020-01-01|Bus|Chatswood|12|200|300
2020-01-01|Bus|Macquarie Park|12|200|200
2020-01-01|Bus|Newcastle and surrounds|12|<50|<50
2020-01-01|Bus|North Sydney|12|200|200
2020-01-01|Bus|Other|12|18600|17300
2020-01-01|Bus|Parramatta|12|500|500
2020-01-01|Bus|Strathfield|12|200|200
2020-01-01|Bus|Sydney CBD|12|2600|3600
2020-01-01|Bus|Wollongong and surrounds|12|<50|<50
2020-01-01|Bus|All - NSW|12|22500|22300
2020-01-01|Bus|Chatswood|13|300|200
2020-01-01|Bus|Macquarie Park|13|200|200
2020-01-01|Bus|Newcastle and surrounds|13|<50|<50
2020-01-01|Bus|North Sydney|13|200|100
2020-01-01|Bus|Other|13|19700|18700
2020-01-01|Bus|Parramatta|13|500|500
2020-01-01|Bus|Strathfield|13|200|200
2020-01-01|Bus|Sydney CBD|13|2900|3500
2020-01-01|Bus|Wollongong and surrounds|13|100|<50
2020-01-01|Bus|All - NSW|13|24100|23400
2020-01-01|Bus|Chatswood|14|300|200
2020-01-01|Bus|Macquarie Park|14|200|200
2020-01-01|Bus|Newcastle and surrounds|14|<50|<50
2020-01-01|Bus|North Sydney|14|200|200
2020-01-01|Bus|Other|14|19200|19600
2020-01-01|Bus|Parramatta|14|500|500
2020-01-01|Bus|Strathfield|14|200|200
2020-01-01|Bus|Sydney CBD|14|3200|3600
2020-01-01|Bus|Wollongong and surrounds|14|100|<50
2020-01-01|Bus|All - NSW|14|23900|24500
2020-01-01|Bus|Chatswood|15|300|300
2020-01-01|Bus|Macquarie Park|15|300|300
2020-01-01|Bus|Newcastle and surrounds|15|<50|<50
2020-01-01|Bus|North Sydney|15|200|100
2020-01-01|Bus|Other|15|19300|19200
2020-01-01|Bus|Parramatta|15|500|500
2020-01-01|Bus|Strathfield|15|200|200
2020-01-01|Bus|Sydney CBD|15|3200|3300
2020-01-01|Bus|Wollongong and surrounds|15|100|<50
2020-01-01|Bus|All - NSW|15|24100|23900
2020-01-01|Bus|Chatswood|16|300|200
2020-01-01|Bus|Macquarie Park|16|300|200
2020-01-01|Bus|Newcastle and surrounds|16|<50|<50
2020-01-01|Bus|North Sydney|16|100|100
2020-01-01|Bus|Other|16|18700|19400
2020-01-01|Bus|Parramatta|16|500|400
2020-01-01|Bus|Strathfield|16|200|200
2020-01-01|Bus|Sydney CBD|16|3200|2800
2020-01-01|Bus|Wollongong and surrounds|16|<50|100
2020-01-01|Bus|All - NSW|16|23300|23400
2020-01-01|Bus|Chatswood|17|300|300
2020-01-01|Bus|Macquarie Park|17|200|100
2020-01-01|Bus|Newcastle and surrounds|17|<50|<50
2020-01-01|Bus|North Sydney|17|200|100
2020-01-01|Bus|Other|17|18000|18500
2020-01-01|Bus|Parramatta|17|600|500
2020-01-01|Bus|Strathfield|17|200|200
2020-01-01|Bus|Sydney CBD|17|3100|2700
2020-01-01|Bus|Wollongong and surrounds|17|<50|<50
2020-01-01|Bus|All - NSW|17|22600|22400
2020-01-01|Bus|Chatswood|18|200|200
2020-01-01|Bus|Macquarie Park|18|200|100
2020-01-01|Bus|Newcastle and surrounds|18|<50|<50
2020-01-01|Bus|North Sydney|18|100|200
2020-01-01|Bus|Other|18|14100|16100
2020-01-01|Bus|Parramatta|18|700|600
2020-01-01|Bus|Strathfield|18|200|200
2020-01-01|Bus|Sydney CBD|18|2800|2800
2020-01-01|Bus|Wollongong and surrounds|18|<50|<50
2020-01-01|Bus|All - NSW|18|18300|20200
2020-01-01|Bus|Chatswood|19|100|100
2020-01-01|Bus|Macquarie Park|19|200|100
2020-01-01|Bus|Newcastle and surrounds|19|<50|<50
2020-01-01|Bus|North Sydney|19|100|100
2020-01-01|Bus|Other|19|9700|11600
2020-01-01|Bus|Parramatta|19|500|400
2020-01-01|Bus|Strathfield|19|200|100
2020-01-01|Bus|Sydney CBD|19|2400|2000
2020-01-01|Bus|Wollongong and surrounds|19|<50|<50
2020-01-01|Bus|All - NSW|19|13200|14400
2020-01-01|Bus|Chatswood|20|100|100
2020-01-01|Bus|Macquarie Park|20|100|100
