trip_origin_date|mode_name|ti_region|tap_hour|Tap_Ons|Tap_Offs
2020-01-01|Light rail|All - NSW|23|800|1200
2020-01-01|Train|Chatswood|0|200|1000
2020-01-01|Train|Macquarie Park|0|100|400
2020-01-01|Train|Newcastle and surrounds|0|100|<50
2020-01-01|Train|North Sydney|0|11200|400
2020-01-01|Train|Other|0|9100|14800
2020-01-01|Train|Parramatta|0|200|300
2020-01-01|Train|Strathfield|0|200|800
2020-01-01|Train|Sydney CBD|0|42300|5300
2020-01-01|Train|Wollongong and surrounds|0|200|<50
2020-01-01|Train|All - NSW|0|63600|23000
2020-01-01|Train|Chatswood|1|500|1900
2020-01-01|Train|Macquarie Park|1|100|1100
2020-01-01|Train|Newcastle and surrounds|1|100|<50
2020-01-01|Train|North Sydney|1|9000|900
2020-01-01|Train|Other|1|13200|55300
2020-01-01|Train|Parramatta|1|200|3000
2020-01-01|Train|Strathfield|1|200|3000
2020-01-01|Train|Sydney CBD|1|45700|8600
2020-01-01|Train|Wollongong and surrounds|1|100|100
2020-01-01|Train|All - NSW|1|69100|73900
2020-01-01|Train|Chatswood|2|200|800
2020-01-01|Train|Macquarie Park|2|100|500
2020-01-01|Train|Newcastle and surrounds|2|100|<50
2020-01-01|Train|North Sydney|2|3900|500
2020-01-01|Train|Other|2|7200|45200
2020-01-01|Train|Parramatta|2|100|2700
2020-01-01|Train|Strathfield|2|200|1300
2020-01-01|Train|Sydney CBD|2|16200|6100
2020-01-01|Train|Wollongong and surrounds|2|200|300
2020-01-01|Train|All - NSW|2|28200|57400
2020-01-01|Train|Chatswood|3|100|200
2020-01-01|Train|Macquarie Park|3|<50|100
2020-01-01|Train|Newcastle and surrounds|3|<50|<50
2020-01-01|Train|North Sydney|3|1800|100
2020-01-01|Train|Other|3|2700|15100
2020-01-01|Train|Parramatta|3|<50|700
2020-01-01|Train|Strathfield|3|100|500
2020-01-01|Train|Sydney CBD|3|7700|2200
2020-01-01|Train|Wollongong and surrounds|3|100|200
2020-01-01|Train|All - NSW|3|12500|19100
2020-01-01|Train|Chatswood|4|<50|100
2020-01-01|Train|Macquarie Park|4|<50|100
2020-01-01|Train|Newcastle and surrounds|4|<50|<50
2020-01-01|Train|North Sydney|4|200|100
2020-01-01|Train|Other|4|3100|7500
2020-01-01|Train|Parramatta|4|200|300
2020-01-01|Train|Strathfield|4|100|300
2020-01-01|Train|Sydney CBD|4|3700|800
2020-01-01|Train|Wollongong and surrounds|4|<50|100
2020-01-01|Train|All - NSW|4|7300|9300
2020-01-01|Train|Chatswood|5|100|100
2020-01-01|Train|Macquarie Park|5|<50|<50
2020-01-01|Train|Newcastle and surrounds|5|<50|<50
2020-01-01|Train|North Sydney|5|100|100
2020-01-01|Train|Other|5|5100|5400
2020-01-01|Train|Parramatta|5|200|200
2020-01-01|Train|Strathfield|5|300|200
2020-01-01|Train|Sydney CBD|5|2200|1300
2020-01-01|Train|Wollongong and surrounds|5|<50|<50
2020-01-01|Train|All - NSW|5|8000|7300
2020-01-01|Train|Chatswood|6|100|100
2020-01-01|Train|Macquarie Park|6|<50|100
2020-01-01|Train|Newcastle and surrounds|6|<50|<50
2020-01-01|Train|North Sydney|6|200|200
2020-01-01|Train|Other|6|6200|6300
2020-01-01|Train|Parramatta|6|200|200
2020-01-01|Train|Strathfield|6|300|200
2020-01-01|Train|Sydney CBD|6|2200|2100
2020-01-01|Train|Wollongong and surrounds|6|100|<50
2020-01-01|Train|All - NSW|6|9300|9200
2020-01-01|Train|Chatswood|7|100|100
2020-01-01|Train|Macquarie Park|7|<50|100
2020-01-01|Train|Newcastle and surrounds|7|<50|<50
2020-01-01|Train|North Sydney|7|200|200
2020-01-01|Train|Other|7|7800|6200
2020-01-01|Train|Parramatta|7|200|300
2020-01-01|Train|Strathfield|7|300|200
2020-01-01|Train|Sydney CBD|7|2200|2200
2020-01-01|Train|Wollongong and surrounds|7|100|<50
2020-01-01|Train|All - NSW|7|10900|9300
2020-01-01|Train|Chatswood|8|200|200
2020-01-01|Train|Macquarie Park|8|100|100
2020-01-01|Train|Newcastle and surrounds|8|<50|<50
2020-01-01|Train|North Sydney|8|200|200
2020-01-01|Train|Other|8|10600|7300
2020-01-01|Train|Parramatta|8|400|400
2020-01-01|Train|Strathfield|8|300|200
2020-01-01|Train|Sydney CBD|8|2100|3400
2020-01-01|Train|Wollongong and surrounds|8|100|100
2020-01-01|Train|All - NSW|8|14000|11900
2020-01-01|Train|Chatswood|9|300|400
2020-01-01|Train|Macquarie Park|9|100|200
2020-01-01|Train|Newcastle and surrounds|9|100|<50
2020-01-01|Train|North Sydney|9|400|300
2020-01-01|Train|Other|9|14900|9200
2020-01-01|Train|Parramatta|9|500|400
2020-01-01|Train|Strathfield|9|500|300
2020-01-01|Train|Sydney CBD|9|2600|5500
2020-01-01|Train|Wollongong and surrounds|9|200|<50
2020-01-01|Train|All - NSW|9|19600|16300
2020-01-01|Train|Chatswood|10|500|400
2020-01-01|Train|Macquarie Park|10|300|200
2020-01-01|Train|Newcastle and surrounds|10|100|<50
2020-01-01|Train|North Sydney|10|700|500
2020-01-01|Train|Other|10|20000|11400
2020-01-01|Train|Parramatta|10|700|500
2020-01-01|Train|Strathfield|10|600|500
2020-01-01|Train|Sydney CBD|10|3900|8000
2020-01-01|Train|Wollongong and surrounds|10|200|100
2020-01-01|Train|All - NSW|10|27000|21600
2020-01-01|Train|Chatswood|11|700|800
2020-01-01|Train|Macquarie Park|11|300|300
2020-01-01|Train|Newcastle and surrounds|11|<50|100
2020-01-01|Train|North Sydney|11|900|800
2020-01-01|Train|Other|11|23200|14800
2020-01-01|Train|Parramatta|11|900|600
2020-01-01|Train|Strathfield|11|700|500
2020-01-01|Train|Sydney CBD|11|5000|11600
2020-01-01|Train|Wollongong and surrounds|11|300|100
2020-01-01|Train|All - NSW|11|32000|29600
2020-01-01|Train|Chatswood|12|800|900
2020-01-01|Train|Macquarie Park|12|300|400
2020-01-01|Train|Newcastle and surrounds|12|<50|<50
2020-01-01|Train|North Sydney|12|900|800
2020-01-01|Train|Other|12|24100|16600
2020-01-01|Train|Parramatta|12|1000|700
2020-01-01|Train|Strathfield|12|800|600
2020-01-01|Train|Sydney CBD|12|5800|12700
2020-01-01|Train|Wollongong and surrounds|12|200|100
2020-01-01|Train|All - NSW|12|33900|32800
2020-01-01|Train|Chatswood|13|900|800
2020-01-01|Train|Macquarie Park|13|400|400
2020-01-01|Train|Newcastle and surrounds|13|<50|100
2020-01-01|Train|North Sydney|13|800|800
2020-01-01|Train|Other|13|25100|18400
2020-01-01|Train|Parramatta|13|1000|800
2020-01-01|Train|Strathfield|13|900|700
2020-01-01|Train|Sydney CBD|13|7300|14500
2020-01-01|Train|Wollongong and surrounds|13|100|100
2020-01-01|Train|All - NSW|13|36500|36600
2020-01-01|Train|Chatswood|14|900|700
2020-01-01|Train|Macquarie Park|14|400|400
2020-01-01|Train|Newcastle and surrounds|14|100|<50
2020-01-01|Train|North Sydney|14|900|900
2020-01-01|Train|Other|14|23000|18600
2020-01-01|Train|Parramatta|14|900|800
2020-01-01|Train|Strathfield|14|900|700
2020-01-01|Train|Sydney CBD|14|8900|14400
2020-01-01|Train|Wollongong and surrounds|14|100|200
2020-01-01|Train|All - NSW|14|36100|36700
2020-01-01|Train|Chatswood|15|900|800
2020-01-01|Train|Macquarie Park|15|400|400
2020-01-01|Train|Newcastle and surrounds|15|100|100
2020-01-01|Train|North Sydney|15|900|900
2020-01-01|Train|Other|15|20900|21200
2020-01-01|Train|Parramatta|15|1000|1000
2020-01-01|Train|Strathfield|15|900|800
2020-01-01|Train|Sydney CBD|15|11000|11500
2020-01-01|Train|Wollongong and surrounds|15|100|<50
2020-01-01|Train|All - NSW|15|36200|36700
2020-01-01|Train|Chatswood|16|800|800
2020-01-01|Train|Macquarie Park|16|500|300
2020-01-01|Train|Newcastle and surrounds|16|100|100
2020-01-01|Train|North Sydney|16|800|800
2020-01-01|Train|Other|16|19000|22000
2020-01-01|Train|Parramatta|16|900|1000
2020-01-01|Train|Strathfield|16|800|800
2020-01-01|Train|Sydney CBD|16|11700|9200
2020-01-01|Train|Wollongong and surrounds|16|100|200
2020-01-01|Train|All - NSW|16|34700|35200
2020-01-01|Train|Chatswood|17|800|800
2020-01-01|Train|Macquarie Park|17|400|300
2020-01-01|Train|Newcastle and surrounds|17|100|<50
2020-01-01|Train|North Sydney|17|900|800
2020-01-01|Train|Other|17|18800|22900
2020-01-01|Train|Parramatta|17|800|1100
2020-01-01|Train|Strathfield|17|900|900
2020-01-01|Train|Sydney CBD|17|12500|8800
2020-01-01|Train|Wollongong and surrounds|17|100|100
2020-01-01|Train|All - NSW|17|35300|35700
2020-01-01|Train|Chatswood|18|800|800
2020-01-01|Train|Macquarie Park|18|400|300
2020-01-01|Train|Newcastle and surrounds|18|<50|<50
2020-01-01|Train|North Sydney|18|800|900
2020-01-01|Train|Other|18|16200|22800
2020-01-01|Train|Parramatta|18|800|1200
2020-01-01|Train|Strathfield|18|800|1000
2020-01-01|Train|Sydney CBD|18|12000|8200
2020-01-01|Train|Wollongong and surrounds|18|100|100
2020-01-01|Train|All - NSW|18|31900|35300
2020-01-01|Train|Chatswood|19|600|700
2020-01-01|Train|Macquarie Park|19|200|300
2020-01-01|Train|Newcastle and surrounds|19|<50|<50
2020-01-01|Train|North Sydney|19|600|600
2020-01-01|Train|Other|19|12300|18400
2020-01-01|Train|Parramatta|19|600|1000
2020-01-01|Train|Strathfield|19|700|900
2020-01-01|Train|Sydney CBD|19|9700|5600
2020-01-01|Train|Wollongong and surrounds|19|100|<50
2020-01-01|Train|All - NSW|19|24800|27500
2020-01-01|Train|Chatswood|20|600|400
2020-01-01|Train|Macquarie Park|20|200|300
2020-01-01|Train|Newcastle and surrounds|20|<50|<50
2020-01-01|Train|North Sydney|20|600|400
2020-01-01|Train|Other|20|10500|15800
2020-01-01|Train|Parramatta|20|600|700
2020-01-01|Train|Strathfield|20|600|700
2020-01-01|Train|Sydney CBD|20|8800|4600
2020-01-01|Train|Wollongong and surrounds|20|<50|100
2020-01-01|Train|All - NSW|20|21900|23000
2020-01-01|Train|Chatswood|21|500|400
2020-01-01|Train|Macquarie Park|21|100|200
2020-01-01|Train|Newcastle and surrounds|21|<50|<50
2020-01-01|Train|North Sydney|21|700|400
2020-01-01|Train|Other|21|8900|15000
2020-01-01|Train|Parramatta|21|700|800
2020-01-01|Train|Strathfield|21|600|800
2020-01-01|Train|Sydney CBD|21|9300|3700
2020-01-01|Train|Wollongong and surrounds|21|<50|<50
2020-01-01|Train|All - NSW|21|20800|21300
2020-01-01|Train|Chatswood|22|300|400
2020-01-01|Train|Macquarie Park|22|100|200
2020-01-01|Train|Newcastle and surrounds|22|<50|<50
2020-01-01|Train|North Sydney|22|700|300
2020-01-01|Train|Other|22|6300|13700
2020-01-01|Train|Parramatta|22|600|600
2020-01-01|Train|Strathfield|22|500|700
2020-01-01|Train|Sydney CBD|22|10600|4200
2020-01-01|Train|Wollongong and surrounds|22|<50|100
2020-01-01|Train|All - NSW|22|19100|20200
2020-01-01|Train|Chatswood|23|100|300
2020-01-01|Train|Macquarie Park|23|100|100
2020-01-01|Train|Newcastle and surrounds|23|<50|<50
2020-01-01|Train|North Sydney|23|300|400
2020-01-01|Train|Other|23|4100|12700
2020-01-01|Train|Parramatta|23|300|500
2020-01-01|Train|Strathfield|23|300|600
2020-01-01|Train|Sydney CBD|23|9800|3800
2020-01-01|Train|Wollongong and surrounds|23|<50|100
2020-01-01|Train|All - NSW|23|15000|18500
2020-01-02|Bus|Chatswood|0|<50|<50
2020-01-02|Bus|Macquarie Park|0|<50|<50
2020-01-02|Bus|North Sydney|0|<50|<50
2020-01-02|Bus|Other|0|800|1700
2020-01-02|Bus|Parramatta|0|100|<50
2020-01-02|Bus|Strathfield|0|<50|<50
2020-01-02|Bus|Sydney CBD|0|700|200
2020-01-02|Bus|All - NSW|0|1600|1900
2020-01-02|Bus|Chatswood|1|<50|<50
2020-01-02|Bus|Macquarie Park|1|<50|<50
2020-01-02|Bus|North Sydney|1|<50|<50
2020-01-02|Bus|Other|1|400|700
2020-01-02|Bus|Parramatta|1|<50|100
2020-01-02|Bus|Strathfield|1|<50|<50
2020-01-02|Bus|Sydney CBD|1|500|100
2020-01-02|Bus|All - NSW|1|900|900
2020-01-02|Bus|Chatswood|2|<50|<50
2020-01-02|Bus|Macquarie Park|2|<50|<50
2020-01-02|Bus|North Sydney|2|<50|<50
2020-01-02|Bus|Other|2|300|600
2020-01-02|Bus|Parramatta|2|<50|<50
2020-01-02|Bus|Strathfield|2|<50|<50
2020-01-02|Bus|Sydney CBD|2|400|100
2020-01-02|Bus|All - NSW|2|700|700
2020-01-02|Bus|Chatswood|3|<50|<50
2020-01-02|Bus|Macquarie Park|3|<50|<50
2020-01-02|Bus|North Sydney|3|<50|<50
2020-01-02|Bus|Other|3|300|500
2020-01-02|Bus|Parramatta|3|<50|<50
2020-01-02|Bus|Strathfield|3|<50|<50
2020-01-02|Bus|Sydney CBD|3|300|100
2020-01-02|Bus|All - NSW|3|600|600
2020-01-02|Bus|Chatswood|4|<50|<50
2020-01-02|Bus|Macquarie Park|4|<50|<50
2020-01-02|Bus|North Sydney|4|<50|<50
2020-01-02|Bus|Other|4|1000|700
2020-01-02|Bus|Parramatta|4|<50|<50
2020-01-02|Bus|Strathfield|4|<50|<50
2020-01-02|Bus|Sydney CBD|4|200|200
2020-01-02|Bus|All - NSW|4|1200|900
2020-01-02|Bus|Chatswood|5|<50|<50
2020-01-02|Bus|Macquarie Park|5|<50|100
2020-01-02|Bus|Newcastle and surrounds|5|<50|<50
2020-01-02|Bus|North Sydney|5|<50|<50
2020-01-02|Bus|Other|5|5300|3700
2020-01-02|Bus|Parramatta|5|200|200
2020-01-02|Bus|Strathfield|5|100|<50
2020-01-02|Bus|Sydney CBD|5|600|600
2020-01-02|Bus|Wollongong and surrounds|5|<50|<50
2020-01-02|Bus|All - NSW|5|6200|4600
2020-01-02|Bus|Chatswood|6|200|100
2020-01-02|Bus|Macquarie Park|6|100|200
2020-01-02|Bus|Newcastle and surrounds|6|<50|<50
2020-01-02|Bus|North Sydney|6|100|100
2020-01-02|Bus|Other|6|14100|11600
2020-01-02|Bus|Parramatta|6|600|600
2020-01-02|Bus|Strathfield|6|200|100
2020-01-02|Bus|Sydney CBD|6|1400|1700
2020-01-02|Bus|Wollongong and surrounds|6|<50|<50
2020-01-02|Bus|All - NSW|6|16700|14400
2020-01-02|Bus|Chatswood|7|300|300
2020-01-02|Bus|Macquarie Park|7|400|400
2020-01-02|Bus|Newcastle and surrounds|7|<50|100
2020-01-02|Bus|North Sydney|7|200|300
2020-01-02|Bus|Other|7|26100|17500
2020-01-02|Bus|Parramatta|7|1000|1300
2020-01-02|Bus|Strathfield|7|300|300
2020-01-02|Bus|Sydney CBD|7|1900|4600
2020-01-02|Bus|Wollongong and surrounds|7|100|100
2020-01-02|Bus|All - NSW|7|30300|24900
2020-01-02|Bus|Chatswood|8|400|500
2020-01-02|Bus|Macquarie Park|8|500|700
2020-01-02|Bus|Newcastle and surrounds|8|100|100
2020-01-02|Bus|North Sydney|8|300|800
2020-01-02|Bus|Other|8|31700|24800
2020-01-02|Bus|Parramatta|8|1000|1600
2020-01-02|Bus|Strathfield|8|300|300
2020-01-02|Bus|Sydney CBD|8|2700|9100
2020-01-02|Bus|Wollongong and surrounds|8|200|200
2020-01-02|Bus|All - NSW|8|37200|38100
2020-01-02|Bus|Chatswood|9|300|500
2020-01-02|Bus|Macquarie Park|9|300|600
2020-01-02|Bus|Newcastle and surrounds|9|100|100
2020-01-02|Bus|North Sydney|9|300|400
2020-01-02|Bus|Other|9|30800|27000
2020-01-02|Bus|Parramatta|9|800|1300
2020-01-02|Bus|Strathfield|9|300|300
2020-01-02|Bus|Sydney CBD|9|2700|6000
2020-01-02|Bus|Wollongong and surrounds|9|200|200
2020-01-02|Bus|All - NSW|9|35800|36400
2020-01-02|Bus|Chatswood|10|400|600
2020-01-02|Bus|Macquarie Park|10|300|500
2020-01-02|Bus|Newcastle and surrounds|10|100|100
2020-01-02|Bus|North Sydney|10|200|200
2020-01-02|Bus|Other|10|33500|29200
2020-01-02|Bus|Parramatta|10|800|1100
2020-01-02|Bus|Strathfield|10|300|200
2020-01-02|Bus|Sydney CBD|10|2700|5200
2020-01-02|Bus|Wollongong and surrounds|10|200|200
2020-01-02|Bus|All - NSW|10|38500|37300
2020-01-02|Bus|Chatswood|11|400|600
2020-01-02|Bus|Macquarie Park|11|400|500
2020-01-02|Bus|Newcastle and surrounds|11|100|100
2020-01-02|Bus|North Sydney|11|200|200
2020-01-02|Bus|Other|11|34900|31400
2020-01-02|Bus|Parramatta|11|800|1200
2020-01-02|Bus|Strathfield|11|300|300
2020-01-02|Bus|Sydney CBD|11|3100|5600
2020-01-02|Bus|Wollongong and surrounds|11|200|300
2020-01-02|Bus|All - NSW|11|40400|40200
2020-01-02|Bus|Chatswood|12|400|500
2020-01-02|Bus|Macquarie Park|12|400|400
2020-01-02|Bus|Newcastle and surrounds|12|100|100
2020-01-02|Bus|North Sydney|12|200|200
2020-01-02|Bus|Other|12|32200|31500
2020-01-02|Bus|Parramatta|12|900|1000
2020-01-02|Bus|Strathfield|12|300|200
2020-01-02|Bus|Sydney CBD|12|3500|5300
2020-01-02|Bus|Wollongong and surrounds|12|200|200
2020-01-02|Bus|All - NSW|12|38200|39400
2020-01-02|Bus|Chatswood|13|500|500
2020-01-02|Bus|Macquarie Park|13|400|400
2020-01-02|Bus|Newcastle and surrounds|13|100|100
2020-01-02|Bus|North Sydney|13|300|200
2020-01-02|Bus|Other|13|32000|31700
2020-01-02|Bus|Parramatta|13|1000|1000
2020-01-02|Bus|Strathfield|13|400|300
2020-01-02|Bus|Sydney CBD|13|3800|4000
2020-01-02|Bus|Wollongong and surrounds|13|200|200
2020-01-02|Bus|All - NSW|13|38700|38400
2020-01-02|Bus|Chatswood|14|600|400
2020-01-02|Bus|Macquarie Park|14|500|400
2020-01-02|Bus|Newcastle and surrounds|14|100|<50
2020-01-02|Bus|North Sydney|14|200|200
2020-01-02|Bus|Other|14|32100|32900
2020-01-02|Bus|Parramatta|14|1100|900
2020-01-02|Bus|Strathfield|14|300|300
2020-01-02|Bus|Sydney CBD|14|5000|3800
2020-01-02|Bus|Wollongong and surrounds|14|200|200
2020-01-02|Bus|All - NSW|14|40100|39100
2020-01-02|Bus|Chatswood|15|700|500
2020-01-02|Bus|Macquarie Park|15|600|400
2020-01-02|Bus|Newcastle and surrounds|15|100|100
2020-01-02|Bus|North Sydney|15|400|300
2020-01-02|Bus|Other|15|34300|35900
2020-01-02|Bus|Parramatta|15|1300|1000
2020-01-02|Bus|Strathfield|15|400|300
2020-01-02|Bus|Sydney CBD|15|6400|4200
2020-01-02|Bus|Wollongong and surrounds|15|200|200
2020-01-02|Bus|All - NSW|15|44400|42900
2020-01-02|Bus|Chatswood|16|700|500
2020-01-02|Bus|Macquarie Park|16|900|500
2020-01-02|Bus|Newcastle and surrounds|16|100|100
2020-01-02|Bus|North Sydney|16|600|400
2020-01-02|Bus|Other|16|35700|40400
2020-01-02|Bus|Parramatta|16|1900|1100
2020-01-02|Bus|Strathfield|16|400|400
2020-01-02|Bus|Sydney CBD|16|8700|4100
2020-01-02|Bus|Wollongong and surrounds|16|300|200
2020-01-02|Bus|All - NSW|16|49300|47700
2020-01-02|Bus|Chatswood|17|700|600
2020-01-02|Bus|Macquarie Park|17|800|500
2020-01-02|Bus|Newcastle and surrounds|17|100|<50
2020-01-02|Bus|North Sydney|17|700|300
2020-01-02|Bus|Other|17|34100|42700
2020-01-02|Bus|Parramatta|17|2100|1200
2020-01-02|Bus|Strathfield|17|500|400
2020-01-02|Bus|Sydney CBD|17|10200|4500
